#,ieee,endpoint_id,cluster_type,cluster_id,attr_id,manufacturer_code,manufacturer_code_idx,status,value,last_updated
1,00:00:00:00:00:00:00:02,1,0,6,20480,-1,-1,0,,1764168730.917541
2,00:00:00:00:00:00:00:02,1,0,57345,53264,-1,-1,0,,1764168731.003101
3,00:00:00:00:00:00:00:02,1,0,57345,53248,-1,-1,0,,1764168731.00326
4,00:00:00:00:00:00:00:02,1,0,57345,53249,-1,-1,0,,1764168731.003319
5,00:00:00:00:00:00:00:02,1,0,57345,53250,-1,-1,0,,1764168731.003376
6,00:00:00:00:00:00:00:02,1,0,57345,53251,-1,-1,0,,1764168731.003429
7,00:00:00:00:00:00:00:02,1,0,57345,53252,-1,-1,0,,1764168731.003481
8,00:00:00:00:00:00:00:02,1,0,57345,53253,-1,-1,0,,1764168731.003533
9,00:00:00:00:00:00:00:02,1,0,0,65506,-1,-1,0,,1773258233.699846
10,00:00:00:00:00:00:00:02,1,0,0,65508,-1,-1,0,,1773258233.69998
11,00:00:00:00:00:00:00:02,1,0,0,65503,-1,-1,0,,1753354076.168784
12,00:00:00:00:00:00:00:04,1,0,0,65503,-1,-1,0,,1773253931.121613
13,00:00:00:00:00:00:00:02,1,0,2820,1293,,-2,134,,0
14,00:00:00:00:00:00:00:02,1,0,2820,1295,,-2,134,,1773259058.09114
15,00:00:00:00:00:00:00:02,1,0,1794,1024,,-2,134,,1773259057.720055
16,00:00:00:00:00:00:00:02,1,0,1794,256,,-2,134,,1773259057.720764
17,00:00:00:00:00:00:00:02,1,0,2820,1290,,-2,134,,0
18,00:00:00:00:00:00:00:02,1,0,1794,258,,-2,134,,1773259057.72094
19,00:00:00:00:00:00:00:02,1,0,1794,260,,-2,134,,1773259057.721071
20,00:00:00:00:00:00:00:02,1,0,1794,262,,-2,134,,1773259057.90824
21,00:00:00:00:00:00:00:02,1,0,2820,1287,,-2,134,,0
22,00:00:00:00:00:00:00:02,1,0,2820,768,,-2,134,,1773259058.15205
23,00:00:00:00:00:00:00:02,1,0,2820,770,,-2,134,,0
24,00:00:00:00:00:00:00:02,1,0,1794,264,,-2,134,,1773259057.909922
25,00:00:00:00:00:00:00:02,1,0,1794,266,,-2,134,,1773259057.910172
26,00:00:00:00:00:00:00:02,1,0,1794,1,,-2,134,,1773259057.910375
27,00:00:00:00:00:00:00:02,1,0,6,16387,,-2,134,,0
28,00:00:00:00:00:00:00:02,1,0,2820,1541,,-2,134,,1773259058.034983
29,00:00:00:00:00:00:00:02,1,0,2820,1540,,-2,134,,1773259057.978187
30,00:00:00:00:00:00:00:02,1,0,2820,1537,,-2,134,,1773259057.977961
31,00:00:00:00:00:00:00:02,1,0,2820,1536,,-2,134,,1773259057.977745
32,00:00:00:00:00:00:00:02,1,0,2820,1025,,-2,134,,0
33,00:00:00:00:00:00:00:02,1,0,2820,1024,,-2,134,,0
34,00:00:00:00:00:00:00:02,1,0,2820,0,,-2,134,,0
35,00:00:00:00:00:00:00:02,1,0,2820,1027,,-2,134,,1773259058.036582
36,00:00:00:00:00:00:00:02,1,0,2820,1026,,-2,134,,1773259058.036255
37,00:00:00:00:00:00:00:02,1,0,2820,1296,,-2,134,,0
38,00:00:00:00:00:00:00:02,1,0,1794,772,,-2,134,,0
39,00:00:00:00:00:00:00:03,1,0,258,9,,-2,134,,1773259057.756661
40,00:00:00:00:00:00:00:03,1,0,6,0,,-2,134,,1773259057.437884
41,00:00:00:00:00:00:00:03,1,0,258,0,,-2,134,,0
42,00:00:00:00:00:00:00:03,1,0,258,23,,-2,134,,0
43,00:00:00:00:00:00:00:03,1,0,258,7,,-2,134,,0
44,00:00:00:00:00:00:00:03,1,0,258,17,,-2,134,,0
45,00:00:00:00:00:00:00:03,1,0,258,19,,-2,134,,0
46,00:00:00:00:00:00:00:03,1,0,258,16,,-2,134,,0
47,00:00:00:00:00:00:00:03,1,0,258,18,,-2,134,,0
